"Teams","DAVE","Off","Def","Total","ST"
"NE",33.5,21.8,4.1,34.5,8.6
"ARI",27,16.4,14.1,30.2,-0.3
"CIN",25.6,18,5.6,26.5,2.9
"CAR",23.9,7.9,17.3,23,-2.3
"SEA",22.3,4.9,9.1,20,6
"PIT",15.8,15.4,2.9,16.7,-1.6
"NYJ",15.4,3,16.9,16.4,-3.4
"GB",12.4,13.2,3,14.9,-1.3
"KC",15.9,8.3,2.5,14.6,3.8
"BUF",12.2,10.7,-1.3,12.3,3
"DEN",9.7,-21.9,27.4,10.1,4.6
"PHI",11.1,-7.1,17.4,9,-1.3
"NYG",5.2,1,-2.4,4.6,5.9
"OAK",6.1,11.9,-6.7,4.2,-1
"WAS",-0.8,1.9,-3.7,-0.8,1
"BAL",-2.5,-1.3,-7.3,-2.5,6.1
"STL",-3.9,-20.2,14.4,-3.7,2.1
"ATL",-6,1.5,-5,-5.1,-1.7
"MIN",-3.7,-7.5,-3.4,-6.5,4.4
"MIA",-6.9,2.7,-7.3,-7,-2.4
"IND",-8,-4.5,-3,-8.7,-1.2
"DAL",-13.5,-5.8,-5.5,-12.5,-1.1
"JAC",-13.8,-5.1,-2.5,-13.1,-5.5
"TB",-11.1,-10,-0.3,-13.8,-3.5
"CHI",-13.1,0.3,-8.2,-15.6,-7.7
"SD",-17.1,4.4,-14.7,-16.3,-6
"HOU",-16.1,-11.4,-0.2,-16.5,-4.8
"TEN",-18.4,-16.4,2,-16.9,-2.5
"NO",-17.5,8.6,-24.4,-18.7,-2.9
"CLE",-21,-12.3,-12.4,-20.1,4.6
"DET",-21.8,-14.2,-9.5,-22.1,1.5
"SF",-37.2,-18.7,-14.5,-36.5,-3.2
"NE",35.8,0.9,-1.1,34.5,5.9
"ARI",32.3,-9.2,-3.4,30.2,16
"CIN",25.6,1.4,0.8,26.5,10.8
"CAR",26.7,-4.9,7.4,23,2.5
"SEA",17.6,0.5,3.2,20,13.7
"PIT",16.2,3.1,-4.2,16.7,9.2
"NYJ",17.2,1.1,0.2,16.4,7.8
"GB",17.1,-3,4.1,14.9,23.7
"KC",16.2,2,4.9,14.6,20.9
"BUF",16.2,3.2,-6.4,12.3,14
"DEN",18.6,-1.3,-4.8,10.1,19.7
"PHI",9.8,-1.4,-6.4,9,11.2
"NYG",6.2,-4.4,-5.7,4.6,6.8
"OAK",5,1,0.2,4.2,16
"WAS",-6.6,1.8,-1.2,-0.8,14.1
"BAL",0.4,0.2,-6.7,-2.5,3.2
"STL",0.9,0.3,-0.3,-3.7,12
"ATL",4.4,-11.3,2.1,-5.1,4.2
"MIN",4.2,-9.7,-9.1,-6.5,16.6
"MIA",-10.9,4.2,-2.2,-7,24.9
"IND",-13.8,3.5,8,-8.7,5.3
"DAL",-14.4,4.9,-8.3,-12.5,5.1
"JAC",-15.5,4.2,14.2,-13.1,8.6
"TB",-13.8,-6.2,2.8,-13.8,19.6
"CHI",-15.8,3.9,7.8,-15.6,13.7
"SD",-13.7,-0.5,-4.8,-16.3,8.4
"HOU",-13.6,-0.1,-0.8,-16.5,16.3
"TEN",-17.6,-6.1,-0.5,-16.9,23.3
"NO",-17.4,0.9,7.9,-18.7,12.3
"CLE",-27.2,6.5,-6.5,-20.1,9.3
"DET",-27.3,5,6.6,-22.1,15.5
"SF",-36.4,7.6,-2.2,-36.5,15.4
