Visitor,Home,Week,Winner,HDAVE,VDAVE,HOff,VOff,HDef,VDef,HTotal,VTotal,HSpec,VSpec,log(HDAVE),log(VDAVE),14HPyth,14HEst,14HOff,14HDef,14HTotal,14VPyth,14VEst,14VOff,14VDef,14VTotal,Home Cushion,Spread,Open Spread,HWin,VWin
Falcons,@Giants,2,0,-3.3,2.5,-5.5,-2.1,-6,-3.4,-1.8,0.5,9.7,6,3.417726684,3.465735903,7.5,7,-0.3,-4.9,-5.8,7.1,7.2,7.2,-15.7,-5.4,6,-2,-2,0,1
Rams,@Redskins,2,1,-19.5,8.5,-8.9,3.7,8.5,15.3,-20.2,15.2,-19.8,-3.8,2.660259537,3.63758616,4.5,4.4,-11.8,-9.9,-27,7.1,6.1,-11.1,3.8,-3.8,17,3,3,0,1
Dolphins,@Jaguars,2,1,-17.6,-2.7,-36.3,-5.1,23.1,2.4,-28,8.3,-14.8,11,2.785011242,3.288401888,3.6,3.3,-24.3,-1.5,-29.5,8.4,8.8,10.1,-0.5,3.5,8,5,4,0,1
Ravens,@Raiders,2,1,-16.2,3.1,-40.5,-57.4,-29.4,41,-68.7,-10,1.2,6.4,2.867898902,3.484312288,3.1,4.8,-19.4,-6.3,-27.4,10.9,11.5,9.4,4.6,21.9,10,6,6,0,0
Cowboys,@Eagles,2,0,2.6,1.2,0.5,2.7,-3.2,-0.5,-11.3,-0.2,-8.6,-2.4,3.594568775,3.424262655,9.7,9.7,1.1,3.3,12.8,10.8,10.3,16.8,-4,13.7,-16.5,-6.5,-5,0,1
Seahawks,@Packers,2,1,13.3,17.9,54.5,-19.4,-4.2,-14.3,55.9,-32.6,5.6,1.1,3.852273001,3.858622229,11.2,10.8,24.7,1,23.3,11.9,12.7,16.8,16.8,31.9,7,-3,-3.5,1,0
Jets,@Colts,2,0,0.5,5.6,10.9,22.8,-33.9,35.2,-41.4,56.5,-18.4,-1.5,3.535145354,3.55820113,10.2,8.8,-1.1,2.3,4.5,4.8,5.9,-11.2,-3.5,-15.5,-19,-6,-6.5,0,1
Redskins,@Giants,3,1,-3.3,-13.2,-3.2,1.3,-12.4,14.7,-3.4,6.1,12.2,-9.9,3.417726684,2.791165108,7.5,7,-0.3,-4.9,-5.8,4.5,4.4,-11.8,-9.9,-27,8,-3,-4,0,0.5
Falcons,@Cowboys,3,0,-3.6,5.6,-8.3,13.8,16.9,-0.6,8.9,13.4,0.3,0.2,3.407841924,3.55820113,10.8,10.3,16.8,-4,13.7,7.1,7.2,7.2,-15.7,-5.4,-12,-1,0,1,1
Colts,@Titans,3,1,-6.3,-4.7,5.3,-17.4,26.9,-6.6,17.6,-35.2,-14.6,-11.2,3.314186005,3.210843653,3.3,4,-16.4,-11.2,-29.3,10.2,8.8,-1.1,2.3,4.5,-1,3,3,0.5,0
Raiders,@Browns,3,0,-9,-12.9,-20.8,2.2,-1.1,-28.3,-6.3,-21.2,15.6,4.9,3.210843653,2.809402695,6.9,7.2,-10.2,3,-6.7,3.1,4.8,-19.4,-6.3,-27.4,-10.5,-3.5,-4,0.5,0.5
Bengals,@Ravens,3,0,3.2,14.8,-6.1,30,-1.6,13,-1.8,39.9,5.9,-3.1,3.610917913,3.790984677,10.9,11.5,9.4,4.6,21.9,8.6,9,-1.4,2.3,5,-6,-2,-2.5,0,1
Jaguars,@Patriots,3,1,23.1,-13.6,35.2,-9.6,-6.7,8.5,35.6,-5.7,7.1,-4.6,4.041295341,2.766319109,11.8,10.8,13.5,3,22.1,3.6,3.3,-24.3,-1.5,-29.5,20,-14,-13,1,0.5
Saints,@Panthers,3,0,3.4,-12.9,-5.7,-17.5,37.9,-24.7,23.9,-53,-8.3,-10.8,3.616308761,2.809402695,7,7.4,-4.7,1.7,-8.5,7.4,7.6,10.6,-13.1,-0.9,5,-10,-3,1,0
Eagles,@Jets,3,0,11,-2.7,4.8,-16.6,39.1,1.8,43.3,-24.4,-0.6,-9.6,3.802208139,3.288401888,4.8,5.9,-11.2,-3.5,-15.5,9.7,9.7,1.1,3.3,12.8,-10,-3,0,1,0
Buccaneers,@Texans,3,1,-12.6,-21.7,-19,-46.2,-6.4,-3.5,-34.7,-42.1,-9.3,7.6,3.054001182,2.054123734,9.8,6.7,-6.8,6.2,-4.5,4.4,4.1,-26.3,-1.1,-28.3,4,-6,-7,0,0.5
