"Teams","DAVE","Off","Def","Total","ST"
"106 captures",NA,NA,NA,NA,NA
"DEN",34.5,26.3,15.6,41.3,-0.6
"SEA",29.4,23.8,12,38.5,2.6
"GB",25.8,18.1,6.4,29.3,4.7
"BAL",15.2,10.8,10.2,22.6,1.6
"CIN",13.3,14.4,7.2,19.5,-2.1
"ATL",12.5,22.1,-12.7,18.7,9.3
"SD",14.7,9,5.6,15.7,1
"NYG",6.2,3.2,8.8,9.8,-2.3
"DET",4.5,-3.9,22.6,9.2,-9.5
"NE",8.9,-5.4,6.5,6.7,5.6
"PIT",5.5,10.9,-6.3,6.5,1.8
"DAL",2.6,11.1,-7.4,5.8,2.1
"PHI",5.6,-5.5,1,5.6,10.2
"KC",2,4.3,-1,4.9,1.6
"BUF",2.6,-17.4,13.8,4.4,8
"SF",5.5,0.5,9.9,4.1,-6.3
"IND",2.7,3.5,-3.1,4.1,3.7
"CLE",-4.1,21.2,-17.9,2.2,-1.1
"CHI",3,2.2,4.1,0.8,-5.5
"ARI",-1.5,-8.2,6.7,0.4,1.9
"MIA",-4.3,-0.7,8.7,-2.9,-10.9
"CAR",-5.5,1,-10.1,-7.9,1.2
"WAS",-8.3,2.9,-1.1,-8.1,-10
"HOU",-9.4,-9.4,2.8,-9.5,-3
"NO",-4.2,11.6,-22.3,-10.6,0.1
"TEN",-17.9,-8.4,-7.1,-21.6,-6.1
"NYJ",-18.3,-24.9,-1.7,-23.6,2.9
"STL",-16,-7.8,-12.9,-25.7,-5.1
"MIN",-20.6,-20.1,-8.4,-27.2,1.3
"OAK",-27.2,-31.2,-6.7,-33.3,4.6
"TB",-29.4,-26.3,-7.8,-40.1,-6
"JAC",-39.9,-35.5,-12.8,-49.2,-1
"DEN",37.6,11.9,4,41.3,8.3
"SEA",29.7,19.5,4.8,38.5,6.3
"GB",26,-0.5,3.9,29.3,16.5
"BAL",21.6,4.9,6.5,22.6,10.3
"CIN",19,6.6,2.7,19.5,17.6
"ATL",23,-9.7,-0.4,18.7,26.4
"SD",26.7,-5.9,-2.8,15.7,8.7
"NYG",3.2,2.1,3.2,9.8,30.5
"DET",15.5,2.4,4.7,9.2,13
"NE",10.7,-7.8,-5.4,6.7,35.8
"PIT",10.5,-14.5,-2.4,6.5,12.2
"DAL",7,-12.7,-0.8,5.8,18.5
"PHI",7.7,-15,-4.7,5.6,5
"KC",5.5,5.5,-0.6,4.9,34
"BUF",7.6,2.7,1.8,4.4,5.9
"SF",9.1,3.5,-3.7,4.1,12.7
"IND",11.3,-0.3,4.3,4.1,10.7
"CLE",4.3,-0.8,3.7,2.2,0.8
"CHI",1.2,1.3,2.6,0.8,11.6
"ARI",-6.1,17.7,-2.7,0.4,15.6
"MIA",7.9,-4.3,-0.5,-2.9,11
"CAR",-9.1,-0.2,-4,-7.9,24.5
"WAS",-7.7,-1,7.2,-8.1,31.9
"HOU",-4.6,-4.3,7,-9.5,1.8
"NO",-7,-8.1,-5,-10.6,15.2
"TEN",-18.8,7.3,9.1,-21.6,26.8
"NYJ",-20.7,4.3,-1.8,-23.6,8.8
"STL",-18.3,-13.9,-9.7,-25.7,22
"MIN",-28.7,3.7,2.6,-27.2,33.8
"OAK",-34.7,-7.3,-12.3,-33.3,2.2
"TB",-33.7,-3.8,-4.4,-40.1,36.2
"JAC",-47.1,4.7,0.1,-49.2,16.5
