"Teams","DAVE","Off","Def","Total","ST"
"NE",40.4,29.5,2.2,40.5,8.8
"ARI",36.3,20.4,17.6,36.7,-1.3
"CIN",30.1,24.2,1.8,30.4,4.4
"GB",24.5,16.5,6,25,2.5
"NYJ",22.9,9.4,18.6,22.8,-5.3
"DEN",21.3,-17.3,36,21,2.3
"CAR",18.4,2.2,20.6,18.2,-4.6
"OAK",15.4,13.9,-1.3,14.9,2.3
"SEA",14.1,0.4,7,13.9,6.6
"PIT",13.8,12.9,2,13.9,-1
"KC",13.7,8.5,-0.8,13,5.2
"PHI",13.2,-7.6,19.9,12.9,0.5
"STL",4.7,-14.5,19,4.8,0.3
"BUF",4.2,3.6,-0.4,4.5,1.3
"NYG",2.1,3,-7.2,2.2,6.4
"BAL",-2,0,-8.6,-1.8,6.8
"ATL",-5.4,3.8,-5,-5,-3.8
"WAS",-5.7,-0.2,-6.3,-5.6,0.9
"NO",-8,11.8,-16.9,-8.1,-2.9
"MIA",-8.3,-2.9,-5.3,-9,-0.9
"IND",-10.7,-8.6,-2.7,-10.9,0.3
"CLE",-12.9,-10,-8.6,-13,5.7
"SD",-13.1,6.3,-13.7,-13.3,-5.8
"JAC",-15.3,-4.1,-4.8,-15.2,-6.3
"DAL",-15.9,-8.1,-3.2,-15.6,-4.3
"TB",-15.7,-9.5,-6.3,-16.3,-0.5
"MIN",-17.4,-14.4,-6.9,-17.3,4
"TEN",-17.9,-21.1,6,-17.5,-2.3
"CHI",-22.7,-4.1,-12.1,-23,-6.8
"HOU",-23.4,-12,-5.6,-23.7,-6.2
"DET",-31.8,-14.9,-14.8,-31.4,-1.7
"SF",-38.7,-20.3,-16.6,-39,-2
"NE",40.5,-1.4,-0.8,40.5,5.3
"ARI",41.9,-12.2,-5.6,36.7,12.4
"CIN",27.9,6.4,1.6,30.4,12.1
"GB",27.1,-3.2,7.4,25,23.6
"NYJ",22.4,4.2,3.3,22.8,7.3
"DEN",29.5,-1.5,-5.8,21,19.6
"CAR",21.2,-6.8,5.1,18.2,1.7
"OAK",13.3,3.3,-0.7,14.9,17.4
"SEA",14.6,-3.8,-2.6,13.9,8.4
"PIT",9.8,8.9,-5.2,13.9,11.4
"KC",15,-0.6,-1.7,13,20.2
"PHI",12.7,1.3,-0.7,12.9,14.6
"STL",8.5,4.6,5.3,4.8,10.8
"BUF",12.8,2.9,-6.5,4.5,14.4
"NYG",4.6,-8.9,-5.8,2.2,6
"BAL",-3.4,6.4,-4.8,-1.8,1.5
"ATL",1.9,-8.9,8.8,-5,3.9
"WAS",-9.5,1.8,-1.8,-5.6,11.2
"NO",-10.5,2.8,12.1,-8.1,7.5
"MIA",-7.2,0.8,-4.6,-9,33.5
"IND",-15.4,2.7,6.5,-10.9,4.3
"CLE",-18.7,8.4,-9.3,-13,10.2
"SD",-13.8,2.6,-4.4,-13.3,8.8
"JAC",-14.4,0.5,8.3,-15.2,7.2
"DAL",-20.5,8.4,-5.2,-15.6,5.8
"TB",-15.3,-8.1,2.7,-16.3,24.6
"MIN",-1.4,-14.9,-10.5,-17.3,15.3
"TEN",-18.4,-10.5,-2.6,-17.5,27.8
"CHI",-24.7,7.8,8,-23,14
"HOU",-16.4,-5.4,-5.8,-23.7,14.1
"DET",-31.3,1.7,-1.6,-31.4,13.5
"SF",-38.7,9.7,-1.7,-39,16.5
