"Teams","DAVE","Off","Def","Total","ST"
"106 captures",NA,NA,NA,NA,NA
"DEN",44.2,31.4,18.2,48.7,-0.9
"BAL",26.1,16.2,8.8,28.5,3.5
"GB",25.6,19.9,4.4,26.1,1.8
"SEA",21,15.5,8.1,22.7,-0.9
"IND",18.1,8.7,5.6,19.4,5.1
"PHI",12.6,-2.9,6.3,14.5,11.1
"DAL",12.2,16.5,-1.3,13.7,-1.6
"SD",13.2,15.7,-4.7,13.2,2.1
"KC",7.2,6.6,1.4,9.9,2
"MIA",4.8,5.6,11.1,6.8,-9.9
"NE",6.2,1.8,-0.1,5.7,3.9
"DET",4,-11.3,24.9,5.2,-8.4
"CIN",2.2,1.9,-1.7,2.7,2.5
"PIT",2,5.6,-7.4,2.2,4
"ARI",-0.5,-11.2,10,0.6,1.8
"BUF",-1,-16.5,10.5,-0.4,5.5
"CLE",-3.4,5.4,-5.8,-0.9,-0.5
"ATL",-2.6,7.6,-16,-1.8,6.6
"CHI",-1.4,1.5,1.8,-1.9,-5.2
"SF",-3.4,-3.2,3.4,-4.5,-4.7
"NO",-1.5,11.8,-17.7,-4.6,1.3
"NYG",-5.3,-2.9,-1,-5.6,-1.7
"HOU",-9.1,-4.9,0.3,-9.2,-4.7
"WAS",-10.7,-3,-0.3,-10.3,-7.1
"CAR",-11.4,2.3,-14,-12.4,-0.7
"TEN",-13.3,-5.2,-5.3,-14.1,-3.6
"NYJ",-13.7,-16.2,-2.3,-14.7,3.9
"STL",-12.9,-4.6,-12.2,-15.7,1.1
"OAK",-21.4,-16,-8.4,-22.3,2
"MIN",-23.7,-29.8,-2.8,-29.2,3.3
"JAC",-27.9,-28.7,1.4,-29.8,-2.4
"TB",-39.3,-25.8,-15,-49,-8.2
"DEN",46.2,5.6,0.9,48.7,7.9
"BAL",33.1,-5.7,3.7,28.5,9.4
"GB",26.3,-3.4,6.8,26.1,11.2
"SEA",11.9,12.6,3.9,22.7,20.4
"IND",19.5,5.9,5.4,19.4,14.9
"PHI",14.7,-7.8,-2.5,14.5,11.3
"DAL",12.6,-4.4,1,13.7,17.8
"SD",24.6,-4.9,-11.8,13.2,6.3
"KC",6.6,9.3,-1.2,9.9,26.1
"MIA",13.2,2.9,-1.2,6.8,10.1
"NE",12.8,-6.8,-11.4,5.7,19
"DET",15.3,-5.8,4.9,5.2,12.1
"CIN",2.4,4.2,1.3,2.7,26.4
"PIT",6,-10.5,-3.1,2.2,14.5
"ARI",2.3,3.2,-5.1,0.6,5.8
"BUF",0,-1.4,-5,-0.4,7.2
"CLE",3.6,-2.6,4.2,-0.9,12.2
"ATL",2.7,-8.5,5,-1.8,26.1
"CHI",-3,-0.1,6.2,-1.9,10.1
"SF",-5.1,10,-0.1,-4.5,15.4
"NO",0,-10.3,2.2,-4.6,15.5
"NYG",-10.1,1.8,0.5,-5.6,31.1
"HOU",-8.1,-0.5,2.6,-9.2,1.6
"WAS",-12.3,-3,4.8,-10.3,21.8
"CAR",-15,2,6.1,-12.4,15.6
"TEN",-9.3,0.7,0.4,-14.1,21.9
"NYJ",-16,10.7,1.4,-14.7,8.7
"STL",-11.7,-5.3,-5.3,-15.7,19.7
"OAK",-24.9,0.4,-13.2,-22.3,4.2
"MIN",-27.3,2.1,5.8,-29.2,22.9
"JAC",-26,3.4,-3.7,-29.8,27.1
"TB",-43.6,-0.6,2.7,-49,36.3
