"Teams","DAVE","Off","Def","Total","ST"
"NE",32,20.8,4.3,33.7,8.7
"ARI",26.2,16.3,13.9,29.6,-0.5
"CIN",30,20.8,5.4,29.5,3.3
"CAR",31.1,9.6,23.5,29.1,-4
"SEA",24.1,9.5,7.8,22.7,5.4
"KC",24.4,8.8,7.8,20.8,4.2
"PIT",14.8,15.5,1.3,15.2,-1.7
"GB",9.8,13.1,1.4,14.3,-0.3
"DEN",12.3,-16,24.2,12.6,4.4
"BUF",8.1,9.7,-1.4,9.7,1.5
"NYJ",8.2,-1.3,12.7,9.2,-2.3
"NYG",1.9,0,-4,1.8,5.8
"PHI",-1.3,-10.6,10.3,-1.4,-1.2
"OAK",-1.9,7.2,-8.5,-2.1,-0.7
"TB",-0.2,-2.3,1.3,-3.7,-2.7
"MIN",-2.9,-5.1,-3.2,-4.7,3.6
"BAL",-5,-3.2,-7,-5,5.2
"ATL",-6.7,-1.7,-1,-5.6,-2.8
"STL",-6.7,-22.1,15.8,-5.9,0.5
"WAS",-5.8,-3.9,-6.2,-6,4
"IND",-5.8,-7.2,0.8,-6.7,-0.3
"MIA",-5.2,0.9,-6.3,-7.7,-2.3
"HOU",-9,-6.8,2.8,-9.9,-5.8
"JAC",-12.3,-4.7,-4.2,-12.2,-3.3
"TEN",-13.6,-12.2,4.1,-12.3,-4.1
"DAL",-14.2,-8.5,-4.3,-13.3,-0.5
"CHI",-10.1,3.5,-11.2,-13.8,-6.1
"DET",-16.1,-12.7,-5.4,-16.7,1.3
"NO",-19.1,9.7,-25.2,-18.4,-2.9
"SD",-19.4,1.9,-16,-19.4,-5.3
"CLE",-21.3,-12.9,-13.1,-21.6,4.5
"SF",-39.3,-17.4,-19.3,-39.6,-2.8
"NE",34.9,0,1.6,33.7,4.9
"ARI",31.4,-5.4,2.5,29.6,13.3
"CIN",23,4,7.4,29.5,10.2
"CAR",32.7,-3.4,7.5,29.1,6.9
"SEA",23.2,-2.6,-1.3,22.7,11.1
"KC",22.9,2,6.7,20.8,22.3
"PIT",16.3,2,-5.3,15.2,8.2
"GB",16.7,-1.5,3.5,14.3,20.9
"DEN",20,-1.5,-6.3,12.6,17.3
"BUF",12.9,6.1,0.1,9.7,12.3
"NYJ",13.9,-2.4,-2,9.2,9
"NYG",4.4,-5.8,-3.1,1.8,8.2
"PHI",-0.4,-2.8,-8.7,-1.4,15.4
"OAK",2.7,-1.5,-6.1,-2.1,14.5
"TB",-2.7,-4.8,3.6,-3.7,21.3
"MIN",3.5,-6.7,-8.2,-4.7,14.9
"BAL",-0.3,-1.4,-9.8,-5,3
"ATL",3.1,-11,-3.2,-5.6,4.7
"STL",-2.6,-0.9,-3.6,-5.9,11.1
"WAS",-13.3,3.1,5.1,-6,16.4
"IND",-12.1,3.6,5.1,-6.7,6.1
"MIA",-9.3,0.7,-2.3,-7.7,25.8
"HOU",-12.1,4,1,-9.9,15.7
"JAC",-15.1,3.7,12,-12.2,6.6
"TEN",-13.4,-4.7,-2,-12.3,23
"DAL",-13.6,2.2,-8.4,-13.3,4.1
"CHI",-15.3,5.1,9.4,-13.8,12.5
"DET",-23.5,5.5,10.8,-16.7,16.2
"NO",-17.5,1.1,3.2,-18.4,13.9
"SD",-18.4,1.6,-4,-19.4,9.5
"CLE",-27.4,5.1,-7.3,-21.6,11
"SF",-39.5,8.5,-0.2,-39.6,14.6
