"Teams","DAVE","Off","Def","Total","ST"
"106 captures",NA,NA,NA,NA,NA
"CIN",18.8,20.8,14.8,36.3,0.7
"ATL",13.9,22.3,-1.2,35.8,14.6
"DEN",24.3,20.1,5.3,24.7,-0.7
"SEA",20.1,24.3,2.1,24.6,-1.7
"CHI",15.9,5.4,19.9,24.3,-1
"BUF",8.8,5.6,2.3,21.9,14
"NE",17.4,-8.3,27.1,21.5,2.6
"PHI",12.1,5.1,7,20.9,8.9
"WAS",2.7,13.9,20.1,17,-17
"PIT",8.6,21.9,-12.6,14.9,5.7
"DET",2.6,0.7,24.7,14.2,-11.2
"ARI",3.2,-4.7,11.5,12.2,5.4
"NO",11.7,24.6,-15.4,10.8,1.6
"BAL",-2,2.2,0.4,2.5,-0.2
"CAR",1.7,4.4,2,1.8,-4.6
"CLE",-6.7,23.6,-18.9,1.5,-3.2
"GB",8.4,-4.5,-2.2,-0.1,6.6
"SF",4.9,5.4,-4.8,-1.9,-2.4
"DAL",-5.2,3.3,-8.5,-2.1,3.1
"SD",3.1,-1.8,-5.6,-6.3,1
"IND",-4.5,1.3,-13.4,-8.2,3.8
"HOU",-10,0,-6.1,-11.1,-5
"NYJ",-7.1,-17.7,6.4,-12.3,-1
"MIA",-9.4,-4.3,6.8,-13.9,-16.5
"TEN",-13.6,-13.7,0.4,-23.2,-9.9
"OAK",-21.1,-25,-0.1,-24.7,0.5
"KC",-15.6,-11.5,-13.8,-25.8,-0.5
"NYG",-15,-14.2,-3.2,-26.5,-9.2
"STL",-14.7,-14.8,-14,-29.7,-0.9
"MIN",-16.3,-29.2,-4.5,-35,-1.3
"JAC",-31.3,-34,-13.9,-52.6,-4.7
"TB",-29.8,-38.6,-12.8,-65.3,-13.9
