"Teams","DAVE","Off","Def","Total","ST"
"NE",35.5,30.6,0.7,39.7,8.4
"ARI",34.7,23.8,17.4,39.2,-2
"GB",33.1,21.8,14.4,39,2.9
"CIN",28.9,32.7,-2.1,34.1,3.5
"NYJ",23.2,7.1,27.6,28.2,-6.5
"SEA",18.2,2.7,7,17.7,8
"CAR",12.6,4.7,16.8,16.2,-5.2
"PHI",12.2,-7.1,19,12.8,0.9
"PIT",11.2,14.7,-2.9,12.2,0.4
"BUF",5.1,4.2,0.9,6.6,1.6
"DEN",7.7,-28.4,31.9,6.2,2.7
"NYG",5.1,0.3,0,6,5.7
"OAK",1.9,3.1,-2.2,4.6,3.6
"MIA",1.9,4.6,-2.7,2.2,0.3
"KC",2.4,3.4,-5.1,2,3.8
"STL",3.1,-16.5,16.9,1.9,1.4
"ATL",-1.2,6.6,-3.7,-1.3,-4.3
"BAL",-1.7,-1.8,-6.2,-2.5,5.5
"WAS",-4.7,0.6,-5.1,-3.2,1.2
"NO",-8.7,6.5,-14.3,-9.9,-2.1
"IND",-8.8,-4.5,-5.3,-10.2,-0.4
"TEN",-12.7,-15.4,6.1,-12.1,-2.8
"CLE",-14.1,-9.3,-12.2,-14.5,7
"SD",-14.5,3.6,-13.4,-16.6,-6.8
"JAC",-16.6,-6.1,-4.6,-16.6,-6
"DAL",-14.1,-4.4,-7.2,-16.8,-5.1
"TB",-17.3,-12.4,-6,-18.5,-0.1
"MIN",-15.9,-14.7,-6.2,-20.4,0.4
"DET",-21.1,-10.6,-12.5,-23.5,-0.4
"CHI",-19.8,-6.4,-13.1,-23.5,-4
"HOU",-29.5,-14.4,-10.3,-31.7,-7
"SF",-33.8,-17.9,-16.6,-36.9,-2.4
"NE",38,0.6,-1.7,39.7,5.6
"ARI",44.4,-11.8,-5.7,39.2,15.3
"GB",39.7,-9.3,6.2,39,3.3
"CIN",33.4,2,2.8,34.1,9.2
"NYJ",29.6,4.5,1.1,28.2,5.5
"SEA",16,1,-0.1,17.7,9.7
"CAR",23.2,-7.7,2.8,16.2,2
"PHI",11,2.7,-3.5,12.8,15.9
"PIT",11.6,3.8,-6.1,12.2,15.4
"BUF",13.2,6.2,-6.8,6.6,14.7
"DEN",19.9,-9.1,-6.5,6.2,2.2
"NYG",6.1,-7.9,-5.2,6,7.1
"OAK",7,-2.8,-1.7,4.6,15
"MIA",7.3,-4.8,-8.7,2.2,33.7
"KC",3.6,2.3,5.7,2,13.6
"STL",1.6,15.1,7.1,1.9,10.1
"ATL",6.3,-7.8,11,-1.3,5.8
"BAL",-3.5,6.4,-2.5,-2.5,0.8
"WAS",-8.1,4.5,-1.6,-3.2,9.8
"NO",-12.5,3.1,9.4,-9.9,9.1
"IND",-15.5,0.6,4.8,-10.2,5.1
"TEN",-15.2,-5.9,2.8,-12.1,28.5
"CLE",-16.3,1.4,-12.4,-14.5,13.1
"SD",-18.7,4.5,2.1,-16.6,9.2
"JAC",-14.8,0.6,7.6,-16.6,8.9
"DAL",-22.2,8.9,-9.8,-16.8,7.7
"TB",-15.4,-9.5,2.6,-18.5,27.8
"MIN",-3.8,-15.4,-9.9,-20.4,17.2
"DET",-22.6,-2.6,-3.2,-23.5,6.9
"CHI",-27.9,13.2,9.2,-23.5,14.7
"HOU",-25.7,-3.7,-5.3,-31.7,12.9
"SF",-36.4,13,-3.5,-36.9,21.1
