Visitor,Home,Week,Winner,HDAVE,VDAVE,HOff,VOff,HDef,VDef,HTotal,VTotal,HSpec,VSpec,14HPyth,14HEst,14HOff,14HDef,14HTotal,14VPyth,14VEst,14VOff,14VDef,14VTotal
Bengals,@Ravens,3,0,3.2,14.8,-6.1,30,-1.6,13,-1.8,39.9,5.9,-3.1,10.9,11.5,9.4,4.6,21.9,8.6,9,-1.4,2.3,5
Jaguars,@Patriots,3,1,23.1,-13.6,35.2,-9.6,-6.7,8.5,35.6,-5.7,7.1,-4.6,11.8,10.8,13.5,3,22.1,3.6,3.3,-24.3,-1.5,-29.5
Saints,@Panthers,3,1,3.4,-12.9,-5.7,-17.5,37.9,-24.7,23.9,-53,-8.3,-10.8,7,7.4,-4.7,1.7,-8.5,7.4,7.6,10.6,-13.1,-0.9
Eagles,@Jets,3,0,11,-2.7,4.8,-16.6,39.1,1.8,43.3,-24.4,-0.6,-9.6,4.8,5.9,-11.2,-3.5,-15.5,9.7,9.7,1.1,3.3,12.8
Buccaneers,@Texans,3,1,-12.6,-21.7,-19,-46.2,-6.4,-3.5,-34.7,-42.1,-9.3,7.6,9.8,6.7,-6.8,6.2,-4.5,4.4,4.1,-26.3,-1.1,-28.3
Chargers,@Vikings,3,1,-1.2,3.4,-5.7,10.6,-12.6,-6.1,-18.9,-4.7,-0.6,-9.2,7.5,7.2,-7.4,-4.3,-8.7,8,8,7,-4.9,-0.6
Steelers,@Rams,3,0,5.7,15.9,-8.5,55.4,4.5,-10,-1.1,40.3,2.9,-5.1,7.1,6.1,-11.1,3.8,-3.8,9.7,9.4,22.5,-11.3,12.1
49ers,@Cardinals,3,NA,17.8,-11,59.3,0.3,13.6,-26.3,85.2,-33.6,12.3,-7.6,8.3,7.4,-9.3,5,-6.4,7,9,-0.4,10.1,6.6
Bills,@Dolphins,3,NA,-1.6,-2.8,3.8,12.2,-0.7,-14.4,4.6,5.3,1.5,7.5,8.4,8.8,10.1,-0.5,3.5,9.6,9,-11.2,15.5,10.5
Bears,@Seahawks,3,NA,13,-23.1,-5.6,-15.9,-16.6,-48.1,-18,-69,4.2,-5,11.9,12.7,16.8,16.8,31.9,4.9,6.4,-0.1,-10.6,-13.8
Broncos,@Lions,3,NA,-0.3,17.8,-4.1,-32.2,-8.8,48.1,-13.3,26.3,-0.4,10.4,9.2,8.7,-3.8,13.9,4.4,11,13.3,20,13.2,29.5
Chiefs,@Packers,3,NA,15.5,5.7,35.9,-11.5,-6.8,14,35.8,6.3,6.7,3.8,11.2,10.8,24.7,1,23.3,10.1,9.4,5,-1.3,10.4
Ravens,@Steelers,4,NA,,,,,,,,,,,9.7,9.4,22.5,-11.3,12.1,10.9,11.5,9.4,4.6,21.9
Jets,@Dolphins,4,NA,,,,,,,,,,,8.4,8.8,10.1,-0.5,3.5,4.8,5.9,-11.2,-3.5,-15.5
Jaguars,@Colts,4,NA,,,,,,,,,,,10.2,8.8,-1.1,2.3,4.5,3.6,3.3,-24.3,-1.5,-29.5
Giants,@Bills,4,NA,,,,,,,,,,,9.6,9,-11.2,15.5,10.5,7.5,7,-0.3,-4.9,-5.8
Panthers,@Buccaneers,4,NA,,,,,,,,,,,4.4,4.1,-26.3,-1.1,-28.3,7,7.4,-4.7,1.7,-8.5
Eagles,@Redskins,4,NA,,,,,,,,,,,4.5,4.4,-11.8,-9.9,-27,9.7,9.7,1.1,3.3,12.8
Raiders,@Bears,4,NA,,,,,,,,,,,4.9,6.4,-0.1,-10.6,-13.8,3.1,4.8,-19.4,-6.3,-27.4
Texans,@Falcons,4,NA,,,,,,,,,,,7.1,7.2,7.2,-15.7,-5.4,9.8,6.7,-6.8,6.2,-4.5
Chiefs,@Bengals,4,NA,,,,,,,,,,,8.6,9,-1.4,2.3,5,10.1,9.4,5,-1.3,10.4
Browns,@Chargers,4,NA,,,,,,,,,,,8,8,7,-4.9,-0.6,6.9,7.2,-10.2,3,-6.7
Packers,@49ers,4,NA,,,,,,,,,,,7,9,-0.4,10.1,6.6,11.2,10.8,24.7,1,23.3
Rams,@Cardinals,4,NA,,,,,,,,,,,8.3,7.4,-9.3,5,-6.4,7.1,6.1,-11.1,3.8,-3.8
Vikings,@Broncos,4,NA,,,,,,,,,,,11,13.3,20,13.2,29.5,7.5,7.2,-7.4,-4.3,-8.7
Cowboys,@Saints,4,NA,,,,,,,,,,,7.4,7.6,10.6,-13.1,-0.9,10.8,10.3,16.8,-4,13.7
Lions,@Seahawks,4,NA,,,,,,,,,,,11.9,12.7,16.8,16.8,31.9,9.2,8.7,-3.8,13.9,4.4
Colts,@Texans,5,NA,,,,,,,,,,,9.8,6.7,-6.8,6.2,-4.5,10.2,8.8,-1.1,2.3,4.5
