"Teams","DAVE","Off","Def","Total","ST"
"NE",32.2,44.7,0.1,52.1,7.4
"ARI",25.2,22.7,23.2,49.8,3.9
"GB",27.3,31.1,9,42.5,2.4
"CIN",25,36.5,5.7,40.3,-1.8
"ATL",11.5,23.7,-7.6,18.6,2.5
"PIT",11.6,20.9,1.3,17.7,-4.5
"DEN",15.9,-23.8,33.2,16.9,7.5
"BUF",6.5,10.8,5,16.3,0.6
"NYJ",8.8,-2.9,25.5,15.7,-6.9
"CAR",4.8,2.7,18.5,11.6,-9.6
"NYG",4.1,-0.4,6.8,10.2,3.8
"SEA",16.1,-6,0.9,9.8,14.8
"STL",7.2,-6,7.6,6.7,5.2
"BAL",3.7,-4.8,1.9,2.2,5
"TEN",-8,1.4,9.5,1.6,-9.3
"OAK",-3.8,2.9,-7.8,1.5,6.3
"PHI",2,-13,14.1,0.1,-0.9
"WAS",-9.5,1.1,-1.5,-1.2,-0.8
"DAL",-2.6,4.6,-6.7,-3.5,-1.3
"MIN",-2.7,-3,-5,-8.6,-0.6
"IND",-4.6,-8.3,-4.2,-12.8,-0.3
"DET",-5.3,-7.9,-5,-12.8,0.1
"SD",-4.6,2.7,-8,-13.3,-7.9
"CLE",-12.1,-12.2,-13.7,-13.7,12.3
"NO",-7.4,5.9,-20.9,-14.5,0.4
"JAC",-16.1,-7,-3.5,-15.9,-5.3
"KC",-6.6,-3.3,-17.8,-16.7,4.5
"MIA",-17.4,-14.2,-17,-28.6,2.7
"TB",-26.9,-33.4,0.9,-36.6,-4.1
"HOU",-25.1,-19.4,-9.9,-41.3,-11.9
"CHI",-25.9,-13.6,-18,-41.5,-9.9
"SF",-28.5,-25.8,-17.1,-48.9,-6
"NE",40.4,6.1,3,52.1,2.3
"ARI",52.9,-24.5,-3.8,49.8,19.7
"GB",46.6,-24.3,1.2,42.5,4.7
"CIN",41.8,-6.6,-1.6,40.3,7.9
"ATL",25.4,-8.6,13.7,18.6,1.7
"PIT",20.7,3,-7.6,17.7,22.4
"DEN",28,-9,-3.7,16.9,0.7
"BUF",25,5.2,-1.5,16.3,20.2
"NYJ",34,-13.7,-5,15.7,10.4
"CAR",24.7,-27.1,-2.7,11.6,0.9
"NYG",7.5,7.6,5.2,10.2,1.3
"SEA",13.3,-1.3,-4.5,9.8,16.5
"STL",2,19,5.5,6.7,5.9
"BAL",-2.5,19.1,2.2,2.2,1.5
"TEN",2.5,-21,4.2,1.6,46.8
"OAK",1.8,-3.2,-2.5,1.5,21.6
"PHI",-6.9,7.4,-4.4,0.1,11.3
"WAS",0.5,-2.9,-2.1,-1.2,13.8
"DAL",-5.7,3.6,-7.6,-3.5,4.7
"MIN",3.3,-14.5,-5.8,-8.6,24.1
"IND",-22.2,4.4,5,-12.8,8.8
"DET",-13.6,1.2,2.4,-12.8,0.5
"SD",-14.1,1.3,1.7,-13.3,7.6
"CLE",-10.7,1.4,-11.5,-13.7,28.8
"NO",-13.2,5.3,5,-14.5,14
"JAC",-12.9,5.6,8.6,-15.9,6.1
"KC",-18.9,14.6,3.9,-16.7,10
"MIA",-25.5,3.7,-6.6,-28.6,14.5
"TB",-39.2,-10.6,2,-36.6,23.2
"HOU",-39.7,-5.8,-2.3,-41.3,1.8
"CHI",-44.2,25.9,7.8,-41.5,21.2
"SF",-53.4,25.3,-7.2,-48.9,45.4
