"Teams","DAVE","Off","Def","Total","ST"
"CIN",32.1,22.9,6.4,32.8,3.4
"NE",28.9,20.3,2.4,30.6,7.9
"KC",32.7,14.5,9,27.6,4.2
"CAR",29.5,7,24,27.2,-3.8
"SEA",29.3,14.5,7.1,26.9,5.2
"ARI",22,12,13.3,25.1,-0.2
"DEN",17,-11.6,26.2,17.6,3
"GB",11.4,11.5,4.1,15.7,0.2
"PIT",14.3,15.8,-0.5,13.9,-1.4
"NYJ",9.9,-0.9,12.2,10.3,-1
"BUF",4.8,8.6,-4.5,5.4,1.2
"OAK",5,10.3,-5.2,4.5,-0.7
"MIN",5.8,0.2,1.2,3.6,2.2
"BAL",-4.3,-4.5,-6.3,-3.5,7.3
"WAS",-3.7,-4.8,-4.2,-4.7,4.3
"DET",-4.8,-5,-2.4,-5.8,1.6
"NYG",-7.3,-5,-6.8,-6.5,5.3
"STL",-8.7,-21.5,14.4,-6.7,0.4
"CHI",-3.3,4.2,-5.6,-6.8,-5.4
"IND",-5.1,-7.8,0.5,-7,0.2
"TB",-3.8,-3.6,-0.5,-7.3,-3.1
"HOU",-5.2,-6.7,4.9,-7.7,-5.9
"ATL",-12.3,-4.2,-4,-10.3,-2.1
"PHI",-12.2,-13.4,3.7,-11,-1.4
"JAC",-14.9,-5.5,-5.5,-14.2,-3.2
"MIA",-12,-2.7,-8.7,-14.4,-3
"SD",-15.2,5.2,-15.2,-15.3,-5.3
"TEN",-18.6,-14.4,1.2,-17,-3.9
"DAL",-19.2,-14.4,-4.6,-19.1,0
"NO",-23.9,6.1,-26.3,-22,-1.8
"CLE",-22.5,-12.4,-11.7,-22.3,1.8
"SF",-31.6,-15.7,-15.4,-33.7,-2.6
"CIN",26.4,4.4,5.6,32.8,10.3
"NE",32.1,-1.2,8,30.6,4.6
"KC",25.2,6.5,6.4,27.6,21.9
"CAR",33.9,-6.1,11.3,27.2,7.4
"SEA",23.4,0.8,0.8,26.9,10.5
"ARI",27,-5.5,-5.7,25.1,17.2
"DEN",19.9,5.8,-4.1,17.6,15.3
"GB",13.1,2.5,-1.7,15.7,18.4
"PIT",13,6,-3.5,13.9,8.8
"NYJ",17.2,-5,1.3,10.3,9.1
"BUF",8.1,5.3,6.4,5.4,12.9
"OAK",5.8,0.7,-14.7,4.5,13
"MIN",6.6,-1.7,-10.9,3.6,15
"BAL",2,-1.9,-17.4,-3.5,2.3
"WAS",-6.5,-1.5,10.1,-4.7,16.8
"DET",-13.5,8.3,10.7,-5.8,22.9
"NYG",-0.5,-8.7,-3.1,-6.5,12.9
"STL",-8.9,4.3,-1,-6.7,10.1
"CHI",-11.8,9.9,9.6,-6.8,13.2
"IND",-9.9,1.1,7.9,-7,5.9
"TB",-3.4,-8.4,3.7,-7.3,18.8
"HOU",-7.4,0.5,0.4,-7.7,17.1
"ATL",0.2,-12,-2.2,-10.3,4.8
"PHI",-8.4,-6.5,-10,-11,20.7
"JAC",-14.1,0.1,12.8,-14.2,6.6
"MIA",-15.2,-1.1,0.3,-14.4,26
"SD",-15.4,4.1,-10.6,-15.3,8.1
"TEN",-16.3,-6.2,-2.4,-17,20.7
"DAL",-17.2,-0.4,-4.4,-19.1,4.1
"NO",-18.8,-3.5,2.1,-22,12.9
"CLE",-26.2,5.3,-13.5,-22.3,9.3
"SF",-34.9,10,1.8,-33.7,19.7
