Week,Home Cushion,Linear,P Home
2,-10,-0.035145,0.4912146543
2,4,1.504769,0.8182846787
2,19,0.38406,0.5948519512
2,-17,0.307235,0.5762102129
2,7.5,-0.609767,0.3521123502
2,-23,-1.596145,0.1685210941
2,-9,-1.418712,0.1948635808
2,2,0.548313,0.6337441056
2,13,-0.714964,0.3285029069
2,6,-0.769769,0.3165290783
2,17,0.117047,0.5292283885
2,8,-1.221589,0.227656937
2,10,0.053572,0.5133897978
2,-16.5,-0.006965,0.498258757
2,7,-0.011039,0.497240278
2,-19,-0.410483,0.3987963125
3,8,0.762864,0.681975216
3,-12,-0.439534,0.3918520133
3,-1,1.18442,0.7657416006
3,-10.5,-0.727189,0.3258118849
3,-6,-0.363307,0.4101592709
3,20,0.404444,0.599754909
3,5,1.146089,0.758795832
3,-10,1.012364,0.7334825329
3,4,-0.240936,0.4400557012
3,15,0.54788,0.6336435951
3,-7,-0.560341,0.3634685626
3,33,0.549095,0.6339255986
3,-27,-1.142587,0.2418457014
3,10,0.542679,0.6324354011
3,-9,-0.73872,0.3232841079
3,5,-0.403629,0.4004407467
4,0,-0.358621,0.4112934239
4,-10,0.390482,0.5963987256
4,-1,0.210014,0.5523113713
4,-20.5,-0.491393,0.3795654674
4,-11,0.765725,0.6825954007
4,6,0.241061,0.5599750994
4,5,-0.772979,0.3158350413
4,17,1.327771,0.790471693
4,11.5,-0.219692,0.4452968419
4,-1.5,-0.903839,0.288262221
4,-7,-1.370928,0.2024699554
4,-9,-0.339108,0.4160261708
4,-4,-0.400595,0.4011693931
4,3,-0.328009,0.4187251428
4,-7,-0.10123,0.4747140895
5,-11,-0.044688,0.4888298589
5,-10,0.995453,0.7301636455
5,0,-1.596487,0.1684731779
5,-1,-0.141557,0.4646697271
5,6,0.443642,0.6091265035
5,15.5,-0.346134,0.4143202289
5,-9.5,-1.230434,0.2261054746
5,5,-0.619133,0.3499786627
5,-1,-0.422623,0.39588926
5,-20,-0.947464,0.2793951179
5,-15,-1.629966,0.1638350189
5,-0.5,-0.580627,0.3587883337
5,-4.5,0.796948,0.6893212505
5,-8,-0.081634,0.4796028262
