"Teams","DAVE","Off","Def","Total","ST"
"106 captures",NA,NA,NA,NA,NA
"DEN",47.7,31.8,17.5,47.6,-1.7
"BAL",26.1,11.3,10.7,26,4
"SEA",18.2,8.3,10.2,18.8,0.3
"KC",15.2,5.1,5.2,15.1,4.8
"GB",14.8,14.9,-1.8,15,1.9
"PHI",12.4,-3.7,6,12.4,10.1
"IND",11,9.7,-3.7,11,4.9
"PIT",10.2,15.9,-8.4,10,2.5
"SD",8.8,16.6,-9.2,8.8,1.4
"MIA",9,5.2,11.9,8.8,-8.4
"DAL",8.5,12.9,-2.9,8.5,-1.5
"NE",7.3,7.5,-5.4,7,4.9
"CIN",6,0.3,3.1,6.7,3.3
"DET",6.1,-10.8,23.6,6.2,-6.6
"NO",5.9,18,-13.7,5.5,1.2
"BUF",3.1,-16.6,13.7,3.2,6.1
"CLE",-0.5,2.9,-3.4,-0.3,0.1
"ARI",-1.2,-10.3,8.1,-1,1.3
"ATL",-2.8,9.1,-15.4,-2.4,3.9
"SF",-3.7,-3.1,4.4,-3.6,-4.9
"NYG",-4.9,-2.3,-0.3,-4.6,-1.9
"HOU",-4.8,-2.5,2.5,-4.8,-4.8
"WAS",-6.5,-2.2,1.2,-6.5,-5.5
"CHI",-9,3.3,-5.8,-8.6,-6.1
"TEN",-10.2,-3.7,-5.9,-10.6,-1
"CAR",-14.7,-2.7,-11.1,-14.8,-1
"NYJ",-19.2,-21.3,-1.3,-19.2,3.3
"OAK",-19,-16,-6.4,-19.4,3.1
"MIN",-24.5,-27.7,0.9,-24.4,2.4
"STL",-24.3,-8.6,-14,-24.6,-2
"JAC",-25.5,-27.1,3.9,-26.1,-2.9
"TB",-43.7,-26.5,-12.8,-43.9,-4.6
"DEN",47.9,4.3,1.5,47.6,8
"BAL",29.4,-3.4,1.1,26,9.5
"SEA",10.8,4.8,3.3,18.8,17.2
"KC",13.5,4.8,-3.3,15.1,25.9
"GB",15.1,-3.5,6.3,15,18.2
"PHI",13.2,-7.9,-1,12.4,10.4
"IND",11.8,7.6,4.7,11,15.2
"PIT",11,-6.7,-3.5,10,17.2
"SD",14.9,2.4,-7.1,8.8,5.6
"MIA",16.3,-2,-4,8.8,7.8
"DAL",8,-3.8,1.4,8.5,17.9
"NE",15,-4.7,-10.2,7,14.7
"CIN",4.5,6,0.3,6.7,27.8
"DET",15,-5.2,7,6.2,9
"NO",9.4,-5.9,5,5.5,20.6
"BUF",5.8,-3.3,-6.8,3.2,6.5
"CLE",4.2,-0.7,1.4,-0.3,11.1
"ARI",0.3,5,-1.4,-1,3.4
"ATL",0.9,-4.6,5.5,-2.4,17.3
"SF",-4.2,7.1,0.5,-3.6,14.5
"NYG",-9.1,1.8,2.3,-4.6,33
"HOU",-3.1,-1.1,0.9,-4.8,1.8
"WAS",-7.3,-0.9,8.7,-6.5,20.8
"CHI",-9.4,-0.8,6.4,-8.6,10.4
"TEN",-8.6,0.4,-0.6,-10.6,21.5
"CAR",-18.1,3.8,6.2,-14.8,13
"NYJ",-21.5,7.5,-2.2,-19.2,9.6
"OAK",-22.5,-0.1,-14.2,-19.4,3.6
"MIN",-18.6,-4.2,3.5,-24.4,20
"STL",-21.4,-2.4,-4.4,-24.6,22
"JAC",-25.9,4.2,-3.4,-26.1,23.3
"TB",-38.6,-3.5,-0.1,-43.9,27.9
