Visitor,Home,Week,Spread Winner,DAVE Diff,Off Diff,Def Diff,Total Diff
Jaguars,@Ravens,10,NA,,,,
Vikings,@Raiders,10,NA,,,,
Patriots,@Giants,10,NA,,,,
Chiefs,@Broncos,10,NA,,,,
Cardinals,@Seahawks,10,NA,,,,
Texans,@Bengals,10,NA,,,,
Titans,@Jaguars,11,NA,,,,
Raiders,@Lions,11,NA,,,,
Colts,@Falcons,11,NA,,,,
Jets,@Texans,11,NA,,,,
Buccaneers,@Eagles,11,NA,,,,
Broncos,@Bears,11,NA,,,,
Packers,@Vikings,11,NA,,,,
Rams,@Ravens,11,NA,,,,
Cowboys,@Dolphins,11,NA,,,,
Redskins,@Panthers,11,NA,,,,
Bengals,@Cardinals,11,NA,,,,
49ers,@Seahawks,11,NA,,,,
Chiefs,@Chargers,11,NA,,,,
Bills,@Patriots,11,NA,,,,
Eagles,@Lions,12,NA,,,,
Panthers,@Cowboys,12,NA,,,,
Bears,@Packers,12,NA,,,,
Saints,@Texans,12,NA,,,,
Rams,@Bengals,12,NA,,,,
Vikings,@Falcons,12,NA,,,,
Giants,@Redskins,12,NA,,,,
Buccaneers,@Colts,12,NA,,,,
Bills,@Chiefs,12,NA,,,,
Raiders,@Titans,12,NA,,,,
Chargers,@Jaguars,12,NA,,,,
Dolphins,@Jets,12,NA,,,,
Cardinals,@49ers,12,NA,,,,
Steelers,@Seahawks,12,NA,,,,
Patriots,@Broncos,12,NA,,,,
Ravens,@Browns,12,NA,,,,
Packers,@Lions,13,NA,,,,
Jets,@Giants,13,NA,,,,
Cardinals,@Rams,13,NA,,,,
Falcons,@Buccaneers,13,NA,,,,
Panthers,@Saints,13,NA,,,,
Seahawks,@Vikings,13,NA,,,,
Texans,@Bills,13,NA,,,,
Ravens,@Dolphins,13,NA,,,,
Bengals,@Browns,13,NA,,,,
Jaguars,@Titans,13,NA,,,,
49ers,@Bears,13,NA,,,,
Broncos,@Chargers,13,NA,,,,
Chiefs,@Raiders,13,NA,,,,
Eagles,@Patriots,13,NA,,,,
Colts,@Steelers,13,NA,,,,
Cowboys,@Redskins,13,NA,,,,
Vikings,@Cardinals,14,NA,,,,
Bills,@Eagles,14,NA,,,,
49ers,@Browns,14,NA,,,,
Lions,@Rams,14,NA,,,,
Saints,@Buccaneers,14,NA,,,,
Titans,@Jets,14,NA,,,,
Steelers,@Bengals,14,NA,,,,
Patriots,@Texans,14,NA,,,,
Colts,@Jaguars,14,NA,,,,
Chargers,@Chiefs,14,NA,,,,
Redskins,@Bears,14,NA,,,,
Falcons,@Panthers,14,NA,,,,
Raiders,@Broncos,14,NA,,,,
Cowboys,@Packers,14,NA,,,,
Seahawks,@Ravens,14,NA,,,,
Giants,@Dolphins,14,NA,,,,
Buccaneers,@Rams,15,NA,,,,
Jets,@Cowboys,15,NA,,,,
Bears,@Vikings,15,NA,,,,
Falcons,@Jaguars,15,NA,,,,
Texans,@Colts,15,NA,,,,
Cardinals,@Eagles,15,NA,,,,
Panthers,@Giants,15,NA,,,,
Titans,@Patriots,15,NA,,,,
Bills,@Redskins,15,NA,,,,
Chiefs,@Ravens,15,NA,,,,
Browns,@Seahawks,15,NA,,,,
Packers,@Raiders,15,NA,,,,
Broncos,@Steelers,15,NA,,,,
Dolphins,@Chargers,15,NA,,,,
Bengals,@49ers,15,NA,,,,
Lions,@Saints,15,NA,,,,
Chargers,@Raiders,16,NA,,,,
Redskins,@Eagles,16,NA,,,,
Patriots,@Jets,16,NA,,,,
Texans,@Titans,16,NA,,,,
Browns,@Chiefs,16,NA,,,,
Colts,@Dolphins,16,NA,,,,
Jaguars,@Saints,16,NA,,,,
49ers,@Lions,16,NA,,,,
Cowboys,@Bills,16,NA,,,,
Bears,@Buccaneers,16,NA,,,,
Panthers,@Falcons,16,NA,,,,
Giants,@Vikings,16,NA,,,,
Rams,@Seahawks,16,NA,,,,
Packers,@Cardinals,16,NA,,,,
Steelers,@Ravens,16,NA,,,,
Bengals,@Broncos,16,NA,,,,
Jets,@Bills,17,NA,,,,
Patriots,@Dolphins,17,NA,,,,
Buccaneers,@Panthers,17,NA,,,,
Saints,@Falcons,17,NA,,,,
Ravens,@Bengals,17,NA,,,,
Steelers,@Browns,17,NA,,,,
Jaguars,@Texans,17,NA,,,,
Titans,@Colts,17,NA,,,,
Raiders,@Chiefs,17,NA,,,,
Redskins,@Cowboys,17,NA,,,,
Eagles,@Giants,17,NA,,,,
Lions,@Bears,17,NA,,,,
Vikings,@Packers,17,NA,,,,
Chargers,@Broncos,17,NA,,,,
Seahawks,@Cardinals,17,NA,,,,
Rams,@49ers,17,NA,,,,
