,Home,Week,Winner,HDAVE,VDAVE,HOff,VOff,HDef,VDef,HTotal,VTotal,HSpec,VSpec,14HSpec,14VSpec,14HPyth,14HEst,14HOff,14HDef,14HTotal,14VPyth,14VEst,14VOff,14VDef,14VTotal
Falcons,@Cowboys,3,0,-4.3,7.7,4.1,23.2,-3.8,-9.8,0.9,14.7,0.6,1.3,0.9,3.1,10.8,10.3,16.8,-4,13.7,7.1,7.2,7.2,-15.7,-5.4
Colts,@Titans,3,1,-4.1,-2.7,4.3,-8.7,16.3,-1.5,11.2,-14.8,-9.4,-4.6,-1.7,3.3,3.3,4,-16.4,-11.2,-29.3,10.2,8.8,-1.1,2.3,4.5
Raiders,@Browns,3,0,-15.2,-4,-22.9,12.8,-10.8,-11.4,-23.1,5.1,10.6,3.7,0.5,-1.7,6.9,7.2,-10.2,3,-6.7,3.1,4.8,-19.4,-6.3,-27.4
Bengals,@Ravens,3,0,-1,18.2,-4.8,26.5,-7.3,11.8,-9.8,36,2.3,-2.3,7.9,4.1,10.9,11.5,9.4,4.6,21.9,8.6,9,-1.4,2.3,5
Jaguars,@Patriots,3,1,30.3,-21.4,42,-11.2,-1.6,-15.7,47.2,-29.3,6.8,-2.4,5.6,-3.7,11.8,10.8,13.5,3,22.1,3.6,3.3,-24.3,-1.5,-29.5
Saints,@Panthers,3,1,6.1,-12.7,10.7,-4.9,21,-26.4,20.3,-32.4,-11.4,-1.1,-5.5,1.6,7,7.4,-4.7,1.7,-8.5,7.4,7.6,10.6,-13.1,-0.9
Eagles,@Jets,3,0,7.5,1.7,-11.9,-18.3,34.5,17.4,18.5,-2.5,-4.1,-1.6,-0.8,8.4,4.8,5.9,-11.2,-3.5,-15.5,9.7,9.7,1.1,3.3,12.8
Buccaneers,@Texans,3,1,-15.5,-23.9,-17,-38.4,-1.2,2.1,-30.9,-37.5,-12.7,-1.2,-3.9,-0.9,9.8,6.7,-6.8,6.2,-4.5,4.4,4.1,-26.3,-1.1,-28.3
Chargers,@Vikings,3,1,3.1,-3.8,3,-3.5,-3.8,-7.2,0.7,-18.5,1.5,-7.8,3,-2.7,7.5,7.2,-7.4,-4.3,-8.7,8,8,7,-4.9,-0.6
Steelers,@Rams,3,0,4.6,11.6,-11.8,32.8,8.1,-3.7,-0.5,24.8,3.2,-4.3,3.5,0.9,7.1,6.1,-11.1,3.8,-3.8,9.7,9.4,22.5,-11.3,12.1
