"Teams","DAVE","Off","Def","Total","ST"
"106 captures",NA,NA,NA,NA,NA
"DEN",30,23.4,13.6,33.2,-3.7
"NE",35.1,16.6,5.3,27.2,5.3
"SEA",23.1,14.8,11.9,25.4,-1.3
"BAL",28.6,14.6,3,25.1,7.5
"GB",22.2,24.5,-0.7,21.7,-2.1
"KC",19.9,8.2,-1.4,13.2,6.3
"PHI",14.9,-2.2,5.4,12.3,9
"BUF",14,-11.9,16.6,11.5,6.8
"PIT",10.4,22.3,-13.1,9,-0.2
"IND",8.9,2.7,2.1,9,4.1
"MIA",7,7,4.9,8.3,-3.6
"DET",4.3,-3.9,15.6,6.9,-4.8
"DAL",8.9,14.9,-9.2,6.7,1
"SD",3.6,10,-4.4,3.9,-1.7
"CIN",-1.9,-1.7,0.2,3.7,5.2
"SF",1.1,-5.2,11.6,2.3,-4.1
"NO",3.8,14.3,-12.7,2.2,0.6
"ARI",-1.5,-10.1,11.5,-1.1,-2.5
"STL",7.2,-10.6,6.2,-1.5,2.9
"ATL",-6.7,11.3,-17.4,-2.6,3.4
"HOU",-3.7,-4.3,0.8,-7.3,-3.8
"CLE",-11.3,-10.6,3.2,-7.4,0
"NYG",-5.3,-6.3,-1.9,-7.4,0.7
"MIN",-5.7,-8.8,-2.2,-9.3,1.7
"CHI",-22.9,1.1,-11.7,-13.9,-3.3
"CAR",-16.7,-7.1,-1.7,-14.5,-5.7
"NYJ",-22.3,-14.4,-4.7,-20.2,-1.2
"OAK",-28.2,-20.6,-5.4,-27.1,-1
"WAS",-36.4,-12.2,-9.3,-27.5,-6
"TEN",-35.9,-17.1,-11,-30.1,-2
"JAC",-26.1,-26.3,-0.1,-30.5,-4
"TB",-24.6,-25,-3.7,-31.1,-2.3
"DEN",30.2,4.9,11.7,33.2,8.6
"NE",22.9,3.5,4.4,27.2,17.7
"SEA",21.4,1.2,1.3,25.4,13.7
"BAL",28.8,-4.8,7.3,25.1,8.2
"GB",22.4,0.7,12.1,21.7,12.5
"KC",11.4,2.7,-6.5,13.2,21.8
"PHI",10.1,-3.4,17.5,12.3,15.8
"BUF",9.3,3.2,-0.1,11.5,5.2
"PIT",9.8,-6.1,-8.5,9,15
"IND",11.6,-2.7,11.7,9,10.3
"MIA",9.1,6.4,14.8,8.3,18.4
"DET",11,-2.8,-3.9,6.9,7.5
"DAL",8.8,-5.1,9.3,6.7,18.6
"SD",2.8,5,-7.8,3.9,16.1
"CIN",5.4,-2.4,-21.1,3.7,23.9
"SF",-1.6,2.8,-1.4,2.3,15.1
"NO",0.4,-1.3,16.8,2.2,22.4
"ARI",1.3,2.6,-13.9,-1.1,6.7
"STL",-1.4,0.2,-9,-1.5,29.8
"ATL",0.2,-3.4,6.1,-2.6,12.4
"HOU",2.4,-7.1,2.7,-7.3,5
"CLE",-2.3,-3.9,-5.3,-7.4,21.2
"NYG",-9.9,-4.1,-5.4,-7.4,18.8
"MIN",-7.7,-0.9,2.8,-9.3,12.7
"CHI",-17.4,2.2,1.2,-13.9,10.5
"CAR",-16.8,1.5,5,-14.5,15
"NYJ",-23.3,4.7,-17.8,-20.2,15.8
"OAK",-35.1,6.7,-22.4,-27.1,19.1
"WAS",-23.9,-5,-9.5,-27.5,23.7
"TEN",-25.8,-2,10.7,-30.1,21.3
"JAC",-28.7,0.5,18.7,-30.5,18.4
"TB",-24.9,-3.3,-11.9,-31.1,20
