"Teams","DAVE","Off","Def","Total","ST"
"NE",39.7,25.2,7.3,40,7.5
"ARI",34.7,19.3,18.4,36.2,-1.4
"CIN",28.5,23.2,3.7,30,3.1
"CAR",22.4,5.4,21.1,21.6,-4.8
"NYJ",19.1,4.9,17.6,19.7,-2.9
"GB",17,14.3,3.1,18.7,1.3
"PIT",17.1,15.6,2.7,16.8,-1.5
"DEN",17.4,-17.5,29.1,16.4,4.8
"SEA",15.5,-0.9,8.4,14,6.4
"PHI",14,-4.5,17.2,13,0.3
"KC",12.9,7.7,-0.5,12.3,5
"OAK",13.3,12.9,-4.1,10.7,1.9
"BUF",8,9.7,-2.7,9.2,2.2
"STL",3.3,-15,17.5,3.6,1
"NYG",0.6,-1.9,-4.6,0.5,7
"BAL",-3.7,-1.6,-8.2,-3.3,6.5
"ATL",-5.6,0.8,-4.4,-5.2,-1.6
"IND",-6.8,-4.5,-1.7,-7.4,-1.2
"WAS",-8.1,-4.2,-5.8,-8.8,1.2
"JAC",-9,-2.8,-0.8,-9.1,-5.5
"MIA",-8.9,2.7,-10,-9.1,-1.8
"NO",-11.3,11.4,-19.4,-11.7,-3.8
"DAL",-12.9,-4.2,-7,-12.9,-1.6
"TEN",-17,-16.8,5,-13.7,-2
"TB",-10.7,-8.9,-2.9,-14.1,-2.3
"MIN",-12.4,-13.2,-5.4,-14.9,3.7
"SD",-15.9,4.5,-14,-15.3,-5.8
"CLE",-16.1,-11.8,-9.6,-16.8,4.5
"CHI",-21.2,-3.2,-10.8,-21.6,-7.6
"HOU",-22.9,-12.6,-4.6,-23.5,-6.3
"DET",-32.7,-16.1,-14.5,-32.5,-1.8
"SF",-37.9,-19.1,-14.1,-36.3,-3.2
"NE",40.2,-0.2,-1.6,40,4.3
"ARI",41.5,-12.7,-5.3,36.2,12.7
"CIN",29.7,3.4,0.9,30,10.1
"CAR",22.1,-2.5,8.9,21.6,2.2
"NYJ",21.6,1.6,0,19.7,7.2
"GB",18.6,-0.7,10.3,18.7,23.2
"PIT",10.6,8.7,-2.3,16.8,11.2
"DEN",26.1,-4.2,-7.2,16.4,17.8
"SEA",13.9,-3.7,-2.7,14,9.1
"PHI",12.7,-1.2,-2.7,13,12.9
"KC",14.3,-1.3,0.5,12.3,20.7
"OAK",9.6,3.2,2.1,10.7,13.9
"BUF",16.1,2.8,-7.4,9.2,14.5
"STL",6.7,1.1,3.4,3.6,10
"NYG",5.9,-8.8,-8.8,0.5,4.9
"BAL",-4,5.2,-5.2,-3.3,2.1
"ATL",4.5,-11.9,2,-5.2,3.7
"IND",-13.8,5.4,8.3,-7.4,4.7
"WAS",-15,6.1,1.8,-8.8,10
"JAC",-13.5,4.6,11.7,-9.1,8.1
"MIA",-11.5,2.9,-4.3,-9.1,28.6
"NO",-12.5,2,10.2,-11.7,8
"DAL",-16.5,8,-3.6,-12.9,5.2
"TEN",-14.1,-9.8,-5.4,-13.7,25.9
"TB",-14.6,-6.2,2.6,-14.1,22.5
"MIN",0.9,-13.2,-9,-14.9,14.3
"SD",-13.5,-1.4,-7.1,-15.3,8.4
"CLE",-23,9.4,-7.2,-16.8,9.8
"CHI",-21.8,3.7,8.5,-21.6,11.3
"HOU",-17,-3.1,-7.1,-23.5,15.2
"DET",-32,1.5,0.6,-32.5,12.7
"SF",-36.3,7.4,-1.8,-36.3,14.7
