"Teams","DAVE","Off","Def","Total","ST"
"ARI",35.4,23.6,19.9,45.3,1.8
"NE",37.5,32.8,3.7,44.4,7.9
"GB",33.6,21.3,14.9,39.3,3.1
"CIN",28.3,32.3,-2.3,33.5,3.4
"NYJ",19.6,5.4,29.4,26.9,-7.9
"PIT",17.4,19.8,0.4,20.9,0.7
"PHI",15.2,-5.1,20.7,17.1,1.4
"BUF",9.7,12.4,1.6,13.4,-0.6
"SEA",14.5,1.3,1.1,12,9.7
"CAR",7.1,2.1,15.9,11.1,-6.8
"DEN",7.7,-27.9,31.2,6.3,3
"NYG",2,-0.9,1.5,3.2,2.7
"BAL",0.7,-1.6,-5.2,-0.5,6.3
"ATL",-0.9,8.8,-5.9,-1.6,-4.5
"WAS",-6.1,-4.1,0.6,-2.8,0.7
"OAK",-4.7,-2.5,-3.9,-2.9,3.5
"STL",-0.6,-20,14.4,-3.7,1.9
"KC",-2.5,-0.6,-7.3,-4.3,3.6
"IND",-4.1,-1.2,-6.6,-6.5,1.3
"CLE",-8.3,-6.9,-10,-7.8,9.1
"SD",-5.6,6.7,-8.7,-8.3,-6.3
"MIA",-8.7,-4.4,-8,-10.5,1.9
"TEN",-13.8,-12.5,3.2,-13.2,-4
"DAL",-11.3,-6.1,-6.8,-14.5,-1.6
"NO",-12.4,6.8,-19.3,-16.1,-3.6
"MIN",-13.4,-15.3,-5.4,-20.3,0.4
"JAC",-21.2,-6.2,-9.8,-22.1,-6
"TB",-21.7,-22.7,-1.4,-24.6,-0.5
"DET",-19.6,-11.3,-12.2,-25,-1.5
"CHI",-21.9,-7.4,-14.5,-25.7,-3.8
"HOU",-21.8,-10.2,-7,-25.9,-8.7
"SF",-30.2,-13,-19.1,-36.3,-4.2
"ARI",49.8,-14.3,-4.5,45.3,15.6
"NE",42.5,-1.8,-2.8,44.4,5.5
"GB",40.1,-11,7.1,39.3,3.6
"CIN",33.4,1.6,-1.1,33.5,8
"NYJ",36.7,-2.1,-2.7,26.9,7.3
"PIT",19.4,6.8,-5.5,20.9,13.9
"PHI",16.5,-0.8,-4,17.1,16.1
"BUF",19.3,8.5,-3.5,13.4,15.1
"SEA",10.5,4.9,0.8,12,10.5
"CAR",21.9,-15.3,1.9,11.1,1.1
"DEN",20.1,-10.1,-8.2,6.3,1.7
"NYG",2.4,-4.1,-1.1,3.2,7.5
"BAL",2.2,2.3,-5.5,-0.5,1.5
"ATL",4.5,-6.5,14.2,-1.6,7.1
"WAS",-6.8,5.2,0.6,-2.8,10.5
"OAK",-1.5,1.1,-0.9,-2.9,15.2
"STL",-10.2,23,7.8,-3.7,9.1
"KC",-3.2,1.2,1.5,-4.3,13.6
"IND",-12.9,3.9,7.6,-6.5,5.5
"CLE",-5.6,1.4,-12.1,-7.8,14
"SD",-12.5,6.8,6.1,-8.3,7.8
"MIA",-3.4,0.4,-8.5,-10.5,29.6
"TEN",-16.2,-7.2,3.7,-13.2,37.8
"DAL",-21.6,9.4,-7.5,-14.5,9
"NO",-20.8,5.5,10.7,-16.1,8
"MIN",-4,-13.5,-5,-20.3,21.5
"JAC",-20.4,-2,4.5,-22.1,5.3
"TB",-23.2,-13.2,3.7,-24.6,30.4
"DET",-25.9,1.6,1.4,-25,8.1
"CHI",-27.7,10.7,9.6,-25.7,15.1
"HOU",-20.5,-8,-3.6,-25.9,9.7
"SF",-36.5,14.7,-3.5,-36.3,25.4
