"Teams","DAVE","Off","Def","Total","ST"
"CIN",32.1,22.2,8.1,34.1,3.8
"SEA",37.8,16.6,10.9,31,3.5
"ARI",25.5,16.8,14.6,30.2,-1.1
"KC",34.5,13.1,11.3,28.5,4.2
"NE",22.3,19.8,2.8,26,3.4
"CAR",25.7,5.2,21.6,23.2,-3.6
"PIT",22,17.7,2.4,19.2,-0.9
"DEN",19.4,-11.7,27.4,18.2,2.4
"GB",3.3,8.2,2.8,10.7,-0.3
"NYJ",6.5,-0.2,11.5,8.3,-3
"BUF",4.5,11.8,-7.3,6.2,1.6
"OAK",4.6,8.4,-4.8,2.2,-1.5
"MIN",2.7,-2.8,-2.8,-2.5,3.1
"TB",4.3,-2,0.6,-3.9,-2.5
"BAL",-5.1,-5.8,-4.5,-3.9,6.4
"DET",-0.5,-6.1,-1,-4.8,2.3
"NYG",-6.2,-4.6,-7.6,-5,7.2
"WAS",-2.7,-5.3,-3.1,-5.2,3.2
"HOU",-1.5,-3,3.1,-5.2,-5.3
"PHI",-7.6,-12,4.2,-6.9,0.9
"CHI",-4.4,2.3,-6.2,-8.1,-4.2
"STL",-14.5,-22.7,11.1,-9.8,1.8
"ATL",-13.8,-4.4,-5,-11.6,-2.2
"IND",-11.7,-12.6,-0.5,-12.8,0.4
"JAC",-14.6,-2.3,-8.2,-13.5,-3
"DAL",-14.2,-13.7,-2.9,-15.3,1.3
"MIA",-13.8,-5.8,-6.3,-15.4,-3.2
"NO",-18.1,8.8,-24.8,-18.2,-2.3
"SD",-21.5,1.6,-15,-18.3,-4.9
"TEN",-25.4,-11.5,-3.2,-18.6,-3.9
"CLE",-24.5,-13.5,-12.2,-24.7,1
"SF",-31.4,-15.1,-11.9,-31.1,-4
"CIN",29.8,2.6,-0.6,34.1,9.2
"SEA",26.8,1.2,2,31,12.7
"ARI",30.6,-4.8,-8.1,30.2,17.3
"KC",24.6,5.8,11.1,28.5,20.8
"NE",26.9,-1.3,7.7,26,6.6
"CAR",29.3,-6.3,8,23.2,9
"PIT",18.8,4.3,-5.9,19.2,11.6
"DEN",22.9,1.8,-9.3,18.2,14.1
"GB",12.1,1.1,-3.7,10.7,19.1
"NYJ",15.9,-5.8,0.4,8.3,8.4
"BUF",7.9,3.1,4.8,6.2,11.6
"OAK",3.8,2.3,-9.8,2.2,11.9
"MIN",-0.3,0.2,-7,-2.5,17.4
"TB",-0.2,-8.4,3.2,-3.9,19.9
"BAL",1.5,-2.8,-28.2,-3.9,2.5
"DET",-13.2,7.8,16.8,-4.8,20.6
"NYG",-0.6,-6,0.4,-5,11.9
"WAS",-5.9,-2.8,6,-5.2,15.8
"HOU",-5.6,0.5,4.7,-5.2,16.9
"PHI",-6.6,-3.1,-6.5,-6.9,20.4
"CHI",-9.8,5.4,4.1,-8.1,10.6
"STL",-15.5,6.7,2.2,-9.8,12.5
"ATL",-1.3,-10.7,-3.7,-11.6,4.8
"IND",-17.7,2.5,13.2,-12.8,9
"JAC",-11.4,-2.7,11.9,-13.5,6.1
"DAL",-15.5,0.2,-5,-15.3,4.7
"MIA",-14.3,-1.1,2.5,-15.4,23.7
"NO",-16.2,-0.6,8.4,-18.2,13.2
"SD",-18.1,4.6,-8.4,-18.3,9.5
"TEN",-16.3,-7.3,-4.1,-18.6,19.2
"CLE",-30.8,7.7,-11.9,-24.7,9.5
"SF",-33.6,9.3,1.3,-31.1,17.4
